,ANF,BABA,APA,AOL,AON,BA,
ANF,1.57251e-319,-0.0107994,-0.0275894,-0.017358,-0.352034,-0.0598625,
BABA,0.0103284,2.93298e-05,-0.00231598,0.00487874,-0.0563722,-0.0127208,
APA,0.0267597,0.0023925,4.31116e-05,0.0160992,-0.0674868,-0.0194282,
AOL,0.0158537,-0.00487651,-0.0161863,-0.000299081,-0.248377,-0.0471266,
AON,0.345568,0.0575668,0.0692279,0.249643,0.0109133,-0.100114,
BA,0.0592544,0.0128346,0.0195943,0.0472487,0.10219,9.87303e-05,
