"Abercrombie & Fitch Company Com",22.50
"Alibaba Group Holding Limited A",82.08
"AOL Inc. AOL Inc. Common Stock",40.32
"Aon plc Class A Ordinary Shares",97.08
"Apache Corporation Common Stock",68.47
"Comcast Corporation 5.00% Notes",25.94
"Kyocera Corporation Common Stoc",59.44
"La Quinta Holdings Inc. Common ",23.985
"Oracle Corporation Common Stock",43.15
"Red Hat, Inc. Common Stock",75.875
